Store Name,Street Number,Street Name,Addl Address,City,State,Zip,County Name
Arcadia Cfm,20,W Duarte Rd,,Arcadia,CA,91006,LOS ANGELES
Arcadia Farmers Market,103,Division St,,Arcadia,OK,73007,OKLAHOMA
Arcata Plaza Cert - FM-North Coast Growers Assn,,G & H St - 8th & 9th St,,Arcata,CA,95521,HUMBOLDT
Argus Farm Stop L3c,325,W Liberty St,,Ann Arbor,MI,48103,WASHTENAW
Arkansas City Farm And Art Market,701,S Summit St,,Arkansas City,KS,67005,COWLEY
Arkansas Local Food Network (alfn),509,Scott St,,Little Rock,AR,72201,PULASKI
Arlee Community Development Corporation,92439,US Highway 93,,Arlee,MT,59821,LAKE
Arlington Farmers Market,114,N Olympic Ave,,Arlington,WA,98223,SNOHOMISH
Arlington Farmers Market At Smokey Point,18308,Smokey Point Blvd,,Arlington,WA,98223,SNOHOMISH
Arlington Foodies Farmer's Market,3533,Marathon St,,Pantego,TX,76013,TARRANT
Arlington Village Farmers Market,148,Rec Park Road,,Arlington,VT,05250,BENNINGTON
Armory Park Farmers Market,,Parade St,Dexter Training Ground,Providence,RI,02909,PROVIDENCE
Arrowhead Regional Medical Center Cfm,400,N Pepper Ave,,Colton,CA,92324,SAN BERNARDINO
Arroyo Grande Farmers' Market,1464,East Arroyo Grande Ave,,Arroyo Grande,CA,93420,SAN LUIS OBISPO
Artesian Well Produce,7777,Monroe Rd,,Elwell,MI,48832,GRATIOT
Artisan Alley Farmer's And Marker's Market,104,Artisan Aly,,Deland,FL,32720,VOLUSIA
Artisan Market,450,Washington St,,Dedham,MA,02026,NORFOLK
Asbury Fresh,104,Grand Ave,,Asbury Park,NJ,07712,MONMOUTH
Ashange Farmer's Market,23744,Hwy 1e,,Redlake,MN,56671,BELTRAMI
Ashe County Farmers Market,108,Back St,,West Jefferson,NC,28694,ASHE
Asheville City Market,306,W Haywood St,,Asheville,NC,28801,BUNCOMBE
Ashland Farmers Market Inc,125,Front St,,Ashland,MA,01721,MIDDLESEX
Ashley Valley Farmers Market,210,E Main St,,Vernal,UT,84078,UINTAH
Ashmont Farmers Market,1900,Dorchester Ave,,Dorchester Center,MA,02124,SUFFOLK
Aspen Grove Farmers' Market,7301,S Santa Fe Dr,,Littleton,CO,80120,ARAPAHOE
Astoria Sunday Market,1203,Commercial St,,Astoria,OR,97103,CLATSOP
ASU Regional Farmer's Market,367,County Road 335,,Jonesboro,AR,72401,CRAIGHEAD
Atascadero Farmers Market,15,East Mall,,Atascadero,CA,93422,SAN LUIS OBISPO
Atchison Farmers' Market Inc,500-600,Main Street,,Atchison,KS,66002,ATCHISON
"Athens Farmer Market Collective, Inc.",700,Sunset Drive,Bishop Park,Athens,GA,30606,CLARKE
Athens Farmers Market,1000,E State St,parking lot,Athens,OH,45701,ATHENS
Atlanta Braves Farmers Market,18800,S. West Villages Parkway,West Villages,Venice,FL,34293,SARASOTA
Atwater Village FM - Sust Econ Enterp of LA,3528,Larga Ave,lot #646,Los Angeles,CA,90039,LOS ANGELES
Auburn Farmers Market,113,E Elm St,,Auburn,MI,48611,BAY
Auburn Farmers Market of Cayuga County,96,State St,,Auburn,NY,13021,CAYUGA
Auburn International Farmers Market,1140,Auburn Way S,Les Grove Park,Auburn,WA,98002,KING
Audubon Farmers Market,2654,Johnson St NE,,Minneapolis,MN,55418,HENNEPIN
Audubon Farmers Market,2844,Johnson St NE,Ste 1,Minneapolis,MN,55418,HENNEPIN
Audubon Park Community Market,1842,East Winter Park Rd,,Orlando,FL,32803,ORANGE
Augusta Locally Grown - Veggie Park,109,Eve St,,Augusta,GA,30904,RICHMOND
Aurora Farmers Market,65,S Water St,,Aurora,IL,60505,KANE
Aurora Farmers Market East #3,4070,Fox Valley Center Dr,,Aurora,IL,60504,DU PAGE
Aurora Farmers Market West,732,Prairie St,,Aurora,IL,60506,KANE
Austintown Farmers' Market,6000,Kirk Road,,Austintown,OH,44515,MAHONING
Avondale Meadows Farmers Market,3908,Meadows Dr,,Indianapolis,IN,46205,MARION
Ayo Farmers Market,4070,N Belt Line Rd,Ste 128,Irving,TX,75038,DALLAS
Aztec Farmers' Market,1409,W Aztec Blvd,,Aztec,NM,87410,SAN JUAN
Bachman's Farm Store,719,Webster St,,Chillicothe,MO,64601,LIVINGSTON
Back To Our Roots Farmers Market,5405,W 3100 S,,West Valley City,UT,84120,SALT LAKE
Back Yard Herbs,100,Jackson Keller Rd,,San Antonio,TX,78216,BEXAR
Backyard Harvest,403,S Main St,,Moscow,ID,83843,LATAH
Backyard Market,12530,Black Forest Rd,,Colorado Springs,CO,80908,EL PASO
Backyard Market At The Farm,11141,Ridgeline Dr,,Colorado Springs,CO,80921,EL PASO
Bagley Area Farmrs Market,,State Highway 92 & Great Northern Dr. Sw,,Bagley,MN,56621,CLEARWATER
Bainbridge Island Farmers Market,280,Madison Ave N,,Bainbridge Island,WA,98110,KITSAP
Baines Farm Market,7028,Bell Ln,,Machipongo,VA,23405,NORTHAMPTON
BAKER CITY FARMERS' MARKET,2600,East St,,Baker City,OR,97814,BAKER
Baldwin Farmer's Market,41,Macek Dr,,Pittsburgh,PA,15227,ALLEGHENY
BALLARD FARMERS MARKET,5330,Ballard Ave NW,,Seattle,WA,98107,KING
Ballston Freshfarm Market,901,N Taylor St,,Arlington,VA,22203,ARLINGTON
Banglatown Farmer's Market,12818,Joseph Campau St,,Hamtramck,MI,48212,WAYNE
Bangor Farmers Market,,Harlow & Franklin Streets,,Bangor,ME,04401,PENOBSCOT
Bangor-Brewer Farmers Market,318,Wilson St,,Brewer,ME,04412,PENOBSCOT
Bank Of America CFM,121,S Hope St,,Los Angeles,CA,90012,LOS ANGELES
Barberton Farmer's Market,248,Robinson Ave,,Barberton,OH,44203,SUMMIT
Barbour County Community Garden Mkt Heart and Hand,107,S Main St,,Philippi,WV,26416,BARBOUR
Barefoot Community Farmers Market,520,Lafayette Rd,,Red Boiling Springs,TN,37150,MACON
Barre Farmer's Market,0,Pearl Street Ped-way,,Barre,VT,05641,WASHINGTON
Barren River Berries,4713,Porter Pike,,Bowling Green,KY,42103,WARREN
Barrow County Farmers Market,30,North Broad Street,,Winder,GA,30680,BARROW
Barstow Farmers Market,300,E Clark st,,Barstow,CA,92311,SAN BERNARDINO
Bartlesville Area Farmers Market,201,S Keeler Ave,,Bartlesville,OK,74003,WASHINGTON
Bastrop 1832 Farmers Market,1302,Chestnut St,,Bastrop,TX,78602,BASTROP
Batavia Farmer's Market,1,N River St,,Batavia,IL,60510,KANE
Bath Farmers Market,13753,Main St,,Bath,MI,48808,CLINTON
Bath Farmers' Market,,Commercial Street,,Bath,ME,04530,SAGADAHOC
Battle Creek Farmers Market,25,McCamly St S,,Battle Creek,MI,49017,CALHOUN
Bay Mills Farmer's Market,11644,Plantation Road,,Brimley,MI,49715,CHIPPEWA
Bayfair Farmers Market,15555,E 14th St,,San Leandro,CA,94578,ALAMEDA
Bayfield Area Farm Market,,1st St,Between Rittenhoue & Manypenny Ave,Bayfield,WI,54814,BAYFIELD
Bayview Farmers Market,1605,Jerrold Ave,,San Francisco,CA,94124,SAN FRANCISCO
Bayview Farmers Market Llc,5642,Bayview Rd,,Langley,WA,98260,ISLAND
Baywood Farmers Market,697,Santa Maria Ave,,Los Osos,CA,93402,SAN LUIS OBISPO
Be Well Farmers Market,2027,Salisbury St,,Saint Louis,MO,63107,ST LOUIS CITY
Beaches Green Market,321,Penman Rd,,Jacksonville Beach,FL,32250,DUVAL
Beacon Farmers Market,223,Main St,,Beacon,NY,12508,DUTCHESS
Beattyville Main Street Marketplace,26,Highway 52 E,,Beattyville,KY,41311,LEE
Beaumont Farmers Market,6525,College St,,Beaumont,TX,77707,JEFFERSON
Beaver Brook Park Farmers Market,304,Chandler St,,Worcester,MA,01602,WORCESTER
Beaver Dam Farmers Market Downtown,204,S Center St,,Beaver Dam,WI,53916,DODGE
"Beaverdale Farmer's Market, Inc'",4801,Franklin Ave,Bldg 1,Des Moines,IA,50310,POLK
BEAVERTON FARMERS MARKET,12375,SW 5th St,,Beaverton,OR,97005,WASHINGTON
Becker Market,414,Becker Ave SW,,Willmar,MN,56201,KANDIYOHI
Bedford VA Farmers Market,220,E Washington St,,Bedford,VA,24523,BEDFORD
Bedner's Farm Fresh Market,420,Claremore Dr,,West Palm Beach,FL,33401,PALM BEACH
Beers Elementary School,3600,Alabama Ave SE,,Washington,DC,20020,DIST OF COLUMBIA
Belchertown Farmers And Artisans Market,25,Park St,,Belchertown,MA,01007,HAMPSHIRE
BELEN FARMERS MARKET,300,E Reinken Ave,,Belen,NM,87002,VALENCIA
Belfast Farmers' Market,256,High St,,Belfast,ME,04915,WALDO
Bell Center Family Share,1301,16th St Nw,,Washington,DC,20036,DIST OF COLUMBIA
Bellaire Winter Farmers Market,116,N Bridge St,,Bellaire,MI,49615,ANTRIM
Belleville's Old Town Farmers' Market,324,E Main St,,Belleville,IL,62220,ST CLAIR
Bellevue  Farmers Market,510,Duncan Rd,,Wilmington,DE,19809,NEW CASTLE
Bellevue Farmers Market,34,N Balph Ave,,Pittsburgh,PA,15202,ALLEGHENY
Bellevue Farmers Market,1717,Bellevue Way NE,,Bellevue,WA,98004,KING
Bellflower Certified Farmers Market,16614,Clark Ave,,Bellflower,CA,90706,LOS ANGELES
Bellingham Farmers Market,300,W Laurel St,,Bellingham,WA,98225,WHATCOM
BELLINGHAM FARMERS MARKET,1133,RAILROAD AVE,,BELLINGHAM,WA,98227,WHATCOM
Belmont Farmers Market,,Channing Rd & Cross St,Municipal Parking Lot,Belmont,MA,02478,MIDDLESEX
Belmont Farmers Market,5429,State Route 19 N,,Belmont,NY,14813,ALLEGANY
Belmont Farmers' Market,1201,El Camino Real,,Belmont,CA,94002,SAN MATEO
Bemidji Area Farmers Market,200,Paul Bunyan Dr S,,Bemidji,MN,56601,BELTRAMI
Bemidji's Natural Choice Farmers Market,120,2nd St Nw,,Bemidji,MN,56601,BELTRAMI
Bend Farmers Market,,Brooks Alley,,Bend,OR,97709,DESCHUTES
Benicia Certified Farmers' Market,90,First St.,,Benicia,CA,94510,SOLANO
BENNINGTON FARMERS MARKET,,DEPOT ST,,Bennington,VT,05201,BENNINGTON
Benton Farmers Market,414,W Hudelson St,,Benton,IL,62812,FRANKLIN
Benton Harbor Farmers Market,127,Pipestone,Dwight P. Mitchell City Center Park,Benton Harbor,MI,49022,BERRIEN
Bentonville Farmers Market,410,SW A St,,Bentonville,AR,72712,BENTON
"Berea Farmers Market, Cooperative",416,Chestnut St,,Berea,KY,40403,MADISON
Berkeley Springs Farmers Market,77,Fairfax St,,Berkeley Springs,WV,25411,MORGAN
Berkshire Grown Holiday Farmers' Mkt-Williamstown,82,Latham St,,Williamstown,MA,01267,BERKSHIRE
Berkshire Grown Holiday FM-Great Barrington,313,Monument Valley Rd,,Great Barrington,MA,01230,BERKSHIRE
Berlin Farmers Market,50,Mt. Carmel Dr,,Cullman,AL,35058,CULLMAN
Bernalillo Farmers Market,370,Rotary Park Rd,,Bernalillo,NM,87004,SANDOVAL
Bernardston Farmers Market,38,Church St,Parking lot,Bernardston,MA,01337,FRANKLIN
Berryessa Farmers' Market,1376,Piedmont Rd,,San Jose,CA,95132,SANTA CLARA
Berthoud Local Farmers Market,620,Mountain Ave,,Berthoud,CO,80513,LARIMER
Berwick Farmer's Market,,Mulberry St.,Crispin Fieldparking Lot,Berwick,PA,18603,COLUMBIA
Berwick Farmers' Market,11,Sullivan St,,Berwick,ME,03901,YORK
Bessemer Farmers Market,100,14th St S,,Bessemer,AL,35020,JEFFERSON
Bethel Lane Farm Stop,4742,E Bethel Ln,,Bloomington,IN,47408,MONROE
Bethune Farmers Market,118,Cedar St,,Daytona Beach,FL,32114,VOLUSIA
Beverly Farmers Market,148,Rantoul St,,Beverly,MA,01915,ESSEX
Beverly Hills Farmers Market,9300,Civic Center Dr,,Beverly Hills,CA,90210,LOS ANGELES
Bexley Farmers Market-Common Green,1,S Dawson Ave,,Columbus,OH,43209,FRANKLIN
Big Bear Farmers Market,42900,Big Bear Blvd,,Big Bear Lake,CA,92315,SAN BERNARDINO
Big Lake Farmers Market,101,Lakeshore Dr,,Big Lake,MN,55309,SHERBURNE
Big Mamas Family Share,4680,Martin Luther King Jr Ave Sw,,Washington,DC,20032,DIST OF COLUMBIA
Bigfork Village Market,191,Mill St,,Bigfork,MT,59911,FLATHEAD
Billerica Community Farmers Market,25,Concord Rd,,Billerica,MA,01821,MIDDLESEX
Binford Farmers Market,6620,Northview Way,,Indianapolis,IN,46220,MARION
Binghamton Downtown Courtyard Market,49,Court Street,,Binghamton,NY,13901,BROOME
Birdhouse Farmers Market,1507,Grayland Ave,,Richmond,VA,23220,RICHMOND CITY
Bisbee Saturday Market,277,W Vista St,,Bisbee,AZ,85603,COCHISE
Bishop Paiute Community Market,50,N TU SU Ln,,Bishop,CA,93514,INYO
Bismarck Farmers Market,4321,Ottawa St,,Bismarck,ND,58503,BURLEIGH
Bismarket,318,S Washington St,,Bismarck,ND,58504,BURLEIGH
Bj Farms,27618,US Highway 98,,Elberta,AL,36530,BALDWIN
Black Independent Growers (big) Farmers' Market,3922,E 38th St,,Indianapolis,IN,46218,MARION
Black Indpendent Growers (big) Farmers' Market,5950,E 46th St,,Indianapolis,IN,46226,MARION
Black Mesa Winery Farm Friday,1502,Highway 68,,Velarde,NM,87582,RIO ARRIBA
Black Oaks Center,3518,W 139th St,,Robbins,IL,60472,COOK
Black Radish,12020,Flatlands Ave,,Brooklyn,NY,11207,KINGS
Black Soil Weekly Farm Shares,105,W Loudon Ave,,Lexington,KY,40508,FAYETTE
Black Urban Farmers Association Bufa,580,W Bowman Rd,,French Camp,CA,95231,SAN JOAQUIN
Blackbrook Farm,1150,35th Ave,,Amery,WI,54001,POLK
Blackfoot Farmers' Market,1210,Highland Dr,,Blackfoot,ID,83221,BINGHAM
Blackhills Farmers Market,245,E Omaha St,,Rapid City,SD,57701,PENNINGTON
Blaine Farmers Market,707,89th Ave Ne,,Minneapolis,MN,55434,ANOKA
Blissful Awakening's Urban Regenerative Farm,81,Clifford St,,Bridgeport,CT,06607,FAIRFIELD
Bloomfield Saturday Market,5050,Liberty Ave,,Pittsburgh,PA,15224,ALLEGHENY
Bloomingdale Farmers Market,100,R ST NW,,Washington,DC,20002,DIST OF COLUMBIA
Bloomington Community Farmers Market,401,N Morton St,Suite 250,Bloomington,IN,47404,MONROE
Bloomington Farmers Market,1800,W Old Shakopee Road,,Bloomington,MN,55431,HENNEPIN
Bloomington Winter Farmers' Market,245,W Grimes Ln,,Bloomington,IN,47403,MONROE
Blu December,4218,10th St NE,,Washington,DC,20017,DIST OF COLUMBIA
Blue Hill Farmers Market,233,Ellsworth Rd,,Blue Hill,ME,04614,HANCOCK
Blue Lake Farmers' Market,411,1st St,,Blue Lake,CA,95525,HUMBOLDT
Bluffview Farmers' Market,S7559,Us Hwy 12,,North Freedom,WI,53951,SAUK
Boise Farmers Market,1500,W Shoreline Dr,,Boise,ID,83702,ADA
Bonner Springs Farmers Market,129,Elm St,,Bonner Springs,KS,66012,WYANDOTTE
Bonsai Blue Garden Market,290,Kietzke Ln,,Reno,NV,89502,WASHOE
Boone Farmers Market,252,Poplar Grove Rd,,Boone,NC,28607,WATAUGA
Boone Street Market,101,Boone St,,Jonesborough,TN,37659,WASHINGTON
Boonsboro Farmers Market,241,Potomac St,,Boonsboro,MD,21713,WASHINGTON
Boonville Farmers' Market,14025,Hwy 128,,Boonville,CA,95415,MENDOCINO
Bors Ranches,601,Indian Hot Springs Rd,,Sierra Blanca,TX,79851,HUDSPETH
Boscobel Farmers Market,800,Wisconsin Ave,,Boscobel,WI,53805,GRANT
Boston Public Market Farmers Market,136,Blackstone St,Plaza outside,Boston,MA,02109,SUFFOLK
Boston Public Market Farmers Market,100,Congress St,,Boston,MA,02109,SUFFOLK
Botanical Bites & Provisions,4738,Massaponax Church Rd,,Fredericksburg,VA,22408,SPOTSYLVANIA
Boulder Farmers Market,1750,13th St,,Boulder,CO,80302,BOULDER
Bountiful Land Farmers Market,1901,McConnell Rd,,Greensboro,NC,27401,GUILFORD
BOUNTY OF THE BARRENS FARMERS MARKET,301,W Main St,,Glasgow,KY,42141,BARREN
Bowdoinham Farmers Marekt,,Main St,Mailly Waterfront Park,Bowdoinham,ME,04008,SAGADAHOC
Bowling Green Community Farmer's Market,211,N Main St,,Bowling Green,VA,22427,CAROLINE
Boyce Farmers Market,627,Pacific Avenue,,Boyce,LA,71409,RAPIDES
Boyle County Farmers Market,105,E Walnut St,,Danville,KY,40422,BOYLE
Boyne City Farmers Market,207,N Lake St,,Boyne City,MI,49712,CHARLEVOIX
Bradenton Farmers Market,419,12th St W,,Bradenton,FL,34205,MANATEE
Brainerd Farmers Market,20,Belvoir Ave,,Chattanooga,TN,37411,HAMILTON
Braintree Farmers Market,1,JFK Memorial Dr,,Braintree,MA,02184,NORFOLK
Brattleboro Area Farmers Mkt,570,Western Ave,,Brattleboro,VT,05301,WINDHAM
Breadbasket Farmers Market,1901,Sw Wanamaker Rd,,Topeka,KS,66614,SHAWNEE
Breathitt County Farmer's Market,3215,Quicksand Rd,,Jackson,KY,41339,BREATHITT
Bremerton Community Farmers Market,1400,Park Ave,,Bremerton,WA,98337,KITSAP
Brentwood CFM,741,S Gretna Green Way,,Los Angeles,CA,90049,LOS ANGELES
Brentwood Farmers' Market,655,1st St,,Brentwood,CA,94513,CONTRA COSTA
Brevard County Farmers Market,2500,Parkway Dr,,Melbourne,FL,32935,BREVARD
Bridgeport Farmer's Market Association,600,Marketplace,,Bridgeport,WV,26330,HARRISON
Bridgton Farmers Market,0,Deport Street,"Depot Street Green, Behind Reny's",Bridgton,ME,04009,CUMBERLAND
Bright Hope Family Farm,28625,S 96th St,,Firth,NE,68358,LANCASTER
Brightmoor Artisan Collective,22735,Fenkell St,,Detroit,MI,48223,WAYNE
Brighton Farmer's Market,200,N 1st St,,Brighton,MI,48116,LIVINGSTON
Brighton Farmers Market,30,Chestnut Hill Ave,,Brighton,MA,02135,SUFFOLK
Brighton Farmers Market,1150,Winton Rd S,,Rochester,NY,14618,MONROE
Brighton Winter Farmer's Market,640,Washington St,,Brighton,MA,02135,SUFFOLK
Brightwood All Farmers,380,Plainfield St,,Springfield,MA,01107,HAMPDEN
Bristol Farmers Market,111,North Main St,,Bristol,CT,06010,HARTFORD
Broad Ripple Farmers Market,1115,Broad Ripple Ave,,Indianapolis,IN,46220,MARION
Broad Rock Farmers Market,3300,Broad Rock Blvd,,Richmond,VA,23224,RICHMOND CITY
Broad St Farmers Market,807,Broad St,,Providence,RI,02907,PROVIDENCE
Broadway Pop-up Market,1720,Broadway Street,,Louisville,KY,40203,JEFFERSON
Broadway Va Farmers Market,161,S Main St,Veterans Memorial Park,Broadway,VA,22815,ROCKINGHAM
"Brockton Farmers Market, Inc",45,School St,,Brockton,MA,02301,PLYMOUTH
Bronx Park East Csa,2140,Bronx Park E,,Bronx,NY,10462,BRONX
Bronxville Farmers Market,1,Paxton Ave,,Bronxville,NY,10708,WESTCHESTER
Brookfield Farmer's Market,100,Pocono Rd,,Brookfield,CT,06804,FAIRFIELD
Brookfield Farmers Market,16900,W. Gebhardt Road,Brookfield Central High School,Brookfield,WI,53005,WAUKESHA
Brookings Farmers Market,15786,Highway 101 S,,Brookings,OR,97415,CURRY
Brookland Wave Senior Share,3299,14th St NE,,Washington,DC,20017,DIST OF COLUMBIA
"Brookline Farmers' Market, Inc.",,Centre St,West Parking Lot,Brookline,MA,02446,NORFOLK
